Predicción de captura_2026-05-21_15-38-55.pcap_Flow.csv
Flujo 110: prob=0.000000001195, clase=0, paquetes=2, payload=137.0, ACK=0, RST=0, SYN=0, duracion=42431
Flujo 111: prob=0.000000000005, clase=0, paquetes=2, payload=180.0, ACK=0, RST=0, SYN=0, duracion=37750
Flujo 112: prob=0.000000000058, clase=0, paquetes=2, payload=154.0, ACK=0, RST=0, SYN=0, duracion=90458
Flujo 113: prob=0.000002422320, clase=0, paquetes=2, payload=102.0, ACK=0, RST=0, SYN=0, duracion=98430
Flujo 114: prob=0.000001786771, clase=0, paquetes=2, payload=90.0, ACK=0, RST=0, SYN=0, duracion=34692
Flujo 115: prob=0.000000000000, clase=0, paquetes=2, payload=270.0, ACK=0, RST=0, SYN=0, duracion=45531
Flujo 116: prob=0.000000000000, clase=0, paquetes=2, payload=271.0, ACK=0, RST=0, SYN=0, duracion=39472
Flujo 117: prob=0.000000000000, clase=0, paquetes=2, payload=204.0, ACK=0, RST=0, SYN=0, duracion=112790
Flujo 118: prob=0.000000000000, clase=0, paquetes=2, payload=237.0, ACK=0, RST=0, SYN=0, duracion=69998
Flujo 119: prob=0.000000000019, clase=0, paquetes=2, payload=167.0, ACK=0, RST=0, SYN=0, duracion=43028
Flujo 120: prob=0.000001783475, clase=0, paquetes=2, payload=90.0, ACK=0, RST=0, SYN=0, duracion=35192
Flujo 121: prob=0.000000000000, clase=0, paquetes=256, payload=169646.0, ACK=0, RST=0, SYN=0, duracion=10759047
Flujo 122: prob=1.000000000000, clase=1, paquetes=2, payload=0.0, ACK=2, RST=0, SYN=0, duracion=82
Flujo 123: prob=0.000000000000, clase=0, paquetes=2, payload=231.0, ACK=0, RST=0, SYN=0, duracion=67136
Flujo 124: prob=0.000001079152, clase=0, paquetes=2, payload=96.0, ACK=0, RST=0, SYN=0, duracion=38521
Flujo 125: prob=0.000001960683, clase=0, paquetes=2, payload=90.0, ACK=0, RST=0, SYN=0, duracion=9466
Flujo 126: prob=0.000000000000, clase=0, paquetes=3, payload=120.0, ACK=0, RST=0, SYN=0, duracion=3004472
Flujo 127: prob=0.000037996211, clase=0, paquetes=2, payload=72.0, ACK=0, RST=0, SYN=0, duracion=11417
Flujo 128: prob=0.000000000006, clase=0, paquetes=2, payload=173.0, ACK=0, RST=0, SYN=0, duracion=58143
Flujo 129: prob=0.000211817489, clase=0, paquetes=2, payload=70.0, ACK=0, RST=0, SYN=0, duracion=4442
